job_role,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,deadline_pressure_level,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,productivity_score
Designer,19,4.6,14.3,26.1,4.2,High,3.7,9.6,0.1,1,3.3,4.4,10,77.3
Designer,1,3.8,9,25,0.9,Medium,10.3,10.4,3.96,3,3.4,4.7,9,36.2
Analyst,7,12.1,28.5,20.5,0.4,Medium,3.8,7,3.7,3,4.3,5.4,8.48,58.6
Marketer,14,7.7,15.9,28.2,1.6,Low,1,10.3,0.33,8,5.4,6.8,5.81,84.3
Analyst,6,15.8,41.8,19.1,0.8,Low,4,6,4.73,7,6.1,6.3,6.18,74
Designer,5,3.1,11.8,26,3.9,Low,8.1,11,0.1,4,3.9,6.7,5.88,58.1
Developer,3,10.9,19.8,25.6,3.7,Low,4.8,10,0.1,1,4.3,5.7,6.63,61.2
Developer,1,16.8,41.5,14.9,0.9,Low,1,5.7,5.69,2,6.3,7.8,5.06,69
Writer,12,5.2,18.2,29.3,0.7,Medium,1,7.3,2.45,1,5.7,5.6,8.33,73.1
Developer,6,24,64,10,2.3,Low,10.3,8.7,5.15,8,3.7,4.9,7.21,70.5
Writer,13,17,46.6,10,2.7,Medium,1.7,6.4,4.1,7,5.9,7.3,7.07,78.8
Writer,20,9,28.6,15.2,2.3,Medium,3.6,4.6,1.32,7,3.9,7.6,6.87,75.1
Marketer,15,3.2,8.2,32.2,2.7,Medium,10.9,11.3,2.95,5,2.4,2.9,10,43.4
Marketer,8,8.6,23.7,23.3,2.9,Medium,7.1,7.1,1.54,4,5.3,4.8,8.94,60.5
Writer,8,12.8,29.1,10,1,Medium,3,9.6,0.29,2,4.7,8,6.55,69.4
Developer,12,16.8,48,22.9,1.4,Medium,2.8,6.4,1.68,10,4.2,3.9,9.6,73.7
Analyst,1,14.1,31.6,20.2,4,Medium,4.9,3.2,0.1,2,2.7,4.7,9,57.3
Analyst,5,8.6,27.7,20,2.1,Low,7.3,4.6,1.11,8,4.6,7,5.65,67.4
Designer,10,7.2,15,27.1,4.4,Low,5.9,7.5,0.91,7,6.1,5.9,6.46,71.2
Marketer,18,0.7,0,24,1.7,Medium,3.8,3.4,2.21,3,4.6,7.4,7.01,65.3
Writer,4,8.4,24.6,30.4,4,Medium,4,5.3,3.1,8,5.4,3.8,9.67,50.5
Developer,18,25,66.4,12.7,0.8,High,4.1,8.9,2.11,4,4.7,2.5,10,91.4
Manager,19,2.3,10.1,27.7,3.4,Low,18.8,13.5,1.36,5,1.4,3.8,8.03,63.3
Manager,9,7,21,21.6,2,Low,17.4,11,1.99,1,2.6,4.5,7.51,53.1
Marketer,6,11,23.1,23.9,1,Medium,3.8,7.2,3.21,3,4.9,4.8,8.92,47.6
Designer,4,0,0.2,20.8,1.3,High,1,2,2.23,5,7.6,7.6,8.51,55.4
Manager,12,4.9,14.3,26.5,1.9,Medium,29.1,20,2.88,5,1,1,10,42.2
Writer,19,20.5,51,19.6,1.6,High,3.2,7.7,2.8,7,5.5,2.2,10,82.8
Analyst,1,5.6,19.4,26.6,1.1,High,4.2,11.8,4.37,2,5.4,3.9,10,40
Developer,13,22.3,52.3,10,0.8,High,5.5,4.2,4.01,1,5.2,3.6,10,76.8
Manager,7,7.5,18.2,18.4,3.8,Medium,12.1,12.5,0.88,7,4,5,8.78,41.9
Marketer,19,10.3,24.9,20.3,3.5,High,2.9,4.5,2.94,9,6.2,4.6,10,73.9
Marketer,3,22.4,57,13.7,1,Low,1.2,4.5,3.23,8,4.8,6.7,5.89,81.7
Analyst,17,4.8,8.5,22.8,1.3,Medium,10.1,7.3,0.94,2,4,5.1,8.71,64.2
Marketer,15,11.3,25.2,26.1,2.6,Low,6.5,8,0.1,7,4.9,5,7.13,78
Manager,5,5,11,18.8,0.9,Low,12.1,8.8,4.01,5,2.9,7,5.65,46.6
Developer,7,25.1,70.2,10,2.4,High,6.2,9.6,1.4,2,5.3,2.7,10,84.4
Manager,3,6.2,18.9,30.7,2.2,Low,8.9,5.1,2.84,5,5.2,4.6,7.45,65
Designer,1,6.6,17.7,24,2.6,Low,9.8,11.3,4.12,7,5.2,5.9,6.47,47.1
Marketer,4,6.8,22.6,22.3,1.5,High,5.5,8.7,2.83,6,4.9,4.4,10,41.5
Manager,4,5.1,16.1,19.9,1,Low,11.4,10.2,0.67,9,3.8,6.9,5.73,57.7
Developer,10,18.8,49.5,16.2,0.4,Low,1.2,3,3.99,3,6.8,7,5.67,92.3
Marketer,14,12.4,29.3,24.5,0.9,High,5,9,1.17,4,4.8,2.5,10,65
Marketer,5,2.5,0,26,0.2,Medium,5,10.1,2.45,3,4.6,6.1,7.96,50.5
Analyst,17,7.3,13.4,23.2,3,Low,4.4,6,0.1,6,6.1,7.3,5.44,82.2
Writer,15,17.4,37.2,12,2.5,Medium,1,3.5,4.05,8,6.8,6.9,7.37,79
Marketer,9,3.9,7.8,32.7,2.4,Low,5.2,11.9,2.15,1,4.6,5.5,6.76,49.8
Designer,10,8.6,31.9,12.9,0.9,Medium,2.3,8.2,4.92,2,6.2,8.6,6.13,73.4
Designer,8,6.3,19.4,17.9,2.5,High,3.9,8.6,0.77,5,4.7,6,9.69,50.1
Analyst,1,8.4,19.9,15.8,4.8,Medium,8,7.9,0.1,6,6.4,6.4,7.73,71
Marketer,13,2.6,16.3,23,3,High,3.3,8.9,2.47,5,6.3,5.8,9.83,53
Analyst,17,10.9,23.3,27.9,1.5,High,5.6,5.4,4.1,7,6.5,1.9,10,62.7
Designer,7,7.8,26.4,34.7,1.1,High,8.2,3.9,4.59,3,4.6,1,10,46.1
Manager,13,10.2,21.1,19.4,5.7,High,16,14.3,1.18,5,4.1,1.6,10,67.9
Analyst,18,13.1,35.7,28.1,1.3,High,7.5,7,4.27,2,4,1,10,74.4
Developer,15,11,30,16.1,4.1,Low,8.3,9.3,0.95,5,3.4,7.1,5.57,77.2
Writer,5,18.4,49.7,15.3,2.8,Medium,6.4,8.3,4.03,7,3.3,4.5,9.16,52.6
Analyst,17,7.1,18.8,25.5,0.7,Medium,7.9,11.8,0.1,10,4.6,4.4,9.23,68.3
Analyst,7,17.7,41.6,12.6,3,High,6.4,9.1,3.39,10,5.7,3.8,10,69.1
Developer,14,15.4,38.3,19.4,2.6,Low,7.2,8.9,1.82,9,4.4,5.5,6.77,80.7
Writer,9,20.1,43.4,15.9,2.4,Low,6.4,7.2,3.78,2,5.6,5.4,6.84,70.6
Developer,17,14.6,37.8,17.9,1,High,1,4.7,3.8,6,4.9,4.6,10,58.6
Marketer,19,11,25.7,16.6,4.7,Low,5.3,6.9,0.1,8,5.3,7.8,5.07,82.4
Manager,16,2,9.6,26.3,2.4,Low,21.5,11.6,3.16,7,1.7,3.6,8.19,48.1
Manager,11,7.3,16.2,19.1,4.4,Low,11.4,12.6,2.94,1,3,6.5,6.02,53.9
Designer,18,4.9,13.9,21.9,1.4,Low,2.7,8.7,1.52,1,4.6,8.6,4.47,80.3
Manager,14,6.8,20.5,13,2.1,Low,11.8,9.8,0.81,8,4.2,8.1,4.85,78.1
Analyst,4,13.8,29.8,17.3,2.9,Low,2.1,4.1,1.12,8,6.3,7.7,5.14,77.1
Manager,1,6.1,19.4,21.3,1.6,High,14.9,9.4,3.79,9,1.9,2.4,10,31.7
Manager,5,3,3.2,24.7,2,Medium,13.5,14.9,2.91,1,1,4.2,9.37,29.2
Writer,15,8.4,25.3,22.7,4.8,Medium,1,3.1,0.1,2,5.7,6.5,7.68,90.4
Analyst,10,10.8,36.6,12.1,1.1,Medium,2.8,4.5,3.57,1,6.5,8.1,6.49,75
Marketer,5,6.8,8.6,26.6,0.1,Medium,6.8,8.8,2.62,9,5.5,4.5,9.16,47.5
Developer,20,16.9,39.1,19.5,0.9,High,1,6,2.5,9,7,3.6,10,83.2
Marketer,20,13.6,33.6,23.9,4.3,High,2.8,7.7,0.1,5,6.8,2.9,10,95.5
Designer,16,4.4,10,22.2,0.2,High,5,6.8,4.4,4,6.2,5.1,10,68.5
Marketer,20,7.9,27.3,19.4,2.8,Medium,7,9.7,0.37,7,4,5.9,8.11,81.3
Manager,5,11.5,21.6,20.5,1.4,High,10.1,9.3,4.88,5,2.5,2.5,10,43.2
Developer,12,15.8,37.6,13.1,0.1,Low,10.2,13.1,4.94,9,4.5,6.2,6.25,63.1
Designer,7,5.9,13.6,27.3,1.2,Low,6.7,5.3,2.71,4,3.2,6,6.39,41.8
Designer,16,7.7,14,31.8,3.6,Medium,2.6,6.2,0.78,7,7.3,4,9.53,70.6
Marketer,7,11.3,22.6,21.3,0.3,Medium,4.8,4.8,3.08,2,4.9,5.2,8.64,55.5
Writer,19,18.7,49,13.9,1.9,Low,6.4,9.3,0.68,2,5,6.2,6.24,94.1
Marketer,1,14.2,34.7,19.2,0.8,Medium,6.8,9.3,3.38,6,7,4.5,9.16,68.8
Developer,15,15.8,34.7,25.4,2.1,High,1,6.7,3,5,5.9,2.4,10,76
Developer,6,18.3,43.2,10,1.9,Low,4,8.3,0.81,2,4.2,7.9,4.99,84.3
Manager,8,11.5,33.8,10,1.2,High,14.3,12.2,2.38,4,3.1,4.1,10,49.2
Analyst,13,10.9,32.6,16.7,0.8,Medium,2.4,6.8,2.86,8,7.4,7,7.3,83.3
Manager,10,10.1,26.8,23.7,3.1,Low,13.6,7.8,0.1,6,3.8,4.2,7.74,73
Manager,2,3.1,11.1,21.7,0.6,Medium,18.9,13.1,4.84,3,2.1,3.6,9.82,20.5
Designer,1,0.9,1,27,0.9,Low,4.8,7.5,2.74,10,3.2,7.8,5.06,46.8
Manager,11,5.3,20.3,25.6,2.7,Low,15.1,13.2,0.1,6,2.4,4.5,7.51,59
Marketer,1,1.9,13.1,22.6,3.2,Medium,5.8,4.7,3.39,7,6.1,6.9,7.37,52.9
Developer,6,16,41.8,21.9,2.7,Low,6.2,9.4,0.27,2,6.4,5,7.15,85.3
Manager,3,1.6,0,24.9,1.2,High,9.7,12.1,0.8,5,3.6,3.9,10,41.2
Analyst,11,9,17.7,25.3,5,Low,7.2,7.8,2.81,9,3.4,5.6,6.69,61.9
Designer,3,12.9,33,10,0.5,Low,9.3,13.5,3.28,4,3,8,4.93,62.7
Developer,8,0,0,29.9,2.6,Low,5.1,7.5,2.84,3,6.7,7.2,5.5,57.1
Manager,7,5,21.8,22,7.5,Medium,5.6,8.2,0.1,1,4.9,6.4,7.76,68.3
Marketer,2,6.6,18.3,33.7,2.8,Low,7.5,9.8,2.64,4,4.9,4,7.87,52.3
Analyst,4,4,13,30.3,1.8,Low,4.6,5.5,0.23,8,5.3,6.3,6.18,70.7
Marketer,13,9.5,21.8,26.1,1.2,Low,10.7,13,1.47,6,5,4.4,7.58,68.3
Developer,20,13.3,32.6,13.9,3.9,High,8.4,9,0.95,6,4.4,4.1,10,78.3
Developer,19,12.8,26.4,24.8,0.9,Low,5.8,8.5,3.59,9,4.8,5.2,7,79.6
Developer,15,13.4,29.7,20.9,0.3,Low,2.5,7,0.24,9,6,6.8,5.81,89.5
Writer,15,15.3,38.1,11.8,2.7,Medium,8.3,7.8,1.86,2,4.2,5.6,8.32,74.4
Designer,6,5.1,6.4,25.2,1,High,4.8,8.9,1.11,5,4.4,4.2,10,42.7
Developer,3,11.7,32.1,18.4,1.6,High,4.8,2.9,2.12,4,2.9,4.3,10,39.8
Designer,3,1.7,4.2,29.3,0.9,High,9.1,11.2,3.86,10,5.2,3,10,40.4
Manager,15,1.5,4,24.2,1.3,Medium,5,13.6,0.1,5,4.4,6.8,7.44,69.2
Marketer,3,12.3,31,19.7,3.1,Medium,1.6,4.9,2.47,10,5.4,6.1,7.97,58.6
Designer,8,6.7,29.7,10,0.4,Medium,8.6,11.8,1.98,7,4.5,8.2,6.42,72.3
Analyst,5,12.1,19.1,29.3,1.1,Low,1,6.6,3.28,6,4.9,5.4,6.84,53.1
Developer,8,10.9,26.8,16.7,2.7,Low,1,7,3.87,8,5.6,8.8,4.32,63.4
Manager,1,11.1,30.5,19.3,0.3,High,8.8,8.5,1.16,6,6,3.2,10,69.1
Designer,17,5.6,10.6,26.5,2.6,Low,4.3,6.6,0.1,9,4.5,6.9,5.73,71.6
Developer,18,20,41.2,19.8,1.6,Low,2.4,9.5,2.75,7,5.3,5.5,6.78,87.2
Marketer,6,14.3,24.3,20,4.6,High,3.8,6.2,0.1,7,5.4,3.5,10,71.5
Analyst,14,5.3,16.1,27.2,1.3,Medium,6.8,9.1,0.54,4,3.9,4.7,9.01,60.3
Analyst,11,16.5,51,16.8,1,Low,6.1,9.2,4.96,2,4.7,6.2,6.26,71.1
Manager,2,6,20.8,20.7,4,High,12.4,10.5,1.49,1,4.8,3.2,10,56.8
Marketer,16,13.5,36.2,13.8,1.7,Low,7.4,7.7,0.1,9,4.9,7.3,5.43,82.9
Analyst,14,10.9,31.2,18.9,2.9,High,8.5,10.7,2.96,5,4.2,3.4,10,61.1
Analyst,5,14.8,37,16.2,5.4,Low,5.2,10.6,2.63,8,4.7,7,5.67,75.7
Analyst,5,7.2,14.9,31.2,3.4,High,4.2,9,3.42,7,5.2,2.3,10,48.8
Developer,20,12.8,36.9,22.5,2.5,High,8.9,8.4,3.65,8,3.8,2,10,72.6
Developer,17,17.4,43.2,14.4,2.3,Medium,4.7,6.6,1.15,9,3,5.4,8.49,82.3
Manager,3,3.4,6.4,24.5,1,Low,13.7,11.5,1.12,5,3.9,5.6,6.7,48
Marketer,8,9.6,25.2,22.3,3.9,High,1,10.2,0.1,3,5.9,4.8,10,71.2
Developer,18,18.1,45.9,16.8,1.6,High,5.4,8.8,4.27,3,5.4,2.9,10,83.4
Developer,20,24.9,55.8,13.5,4,Low,2.1,6.3,1.12,7,4.9,5.9,6.48,98.2
Writer,19,5.7,22.2,20.7,1.5,High,1,6.7,3.36,5,6.6,6.2,9.54,69.6
Writer,17,6.4,11,23.9,2,Low,3.9,4.9,2.38,9,5.9,7.5,5.3,78.3
Marketer,4,6.4,18.1,23.2,0.2,Medium,1,6,1.85,3,7.1,6.8,7.44,69.8
Developer,8,15,45.4,11.2,1.8,Low,4.3,11.2,1.67,4,5,8.4,4.63,71.9
Marketer,7,11.9,39.9,31,3.2,Low,8.9,12.8,4.02,6,2.3,3.1,8.56,52.8
Developer,6,22.7,57.6,13.9,0.4,Low,3.4,7.4,4.87,5,4.3,6,6.4,75.1
Manager,19,7.4,18.5,17.1,6.5,Low,15.6,12.2,1.62,6,2,6,6.41,65.9
Marketer,15,7.9,15.9,30.5,0.4,High,10.9,9.1,4.57,3,4.7,1,10,63.9
Designer,11,1.8,2,34.8,2,Medium,5.5,9.3,1.76,4,4.2,4,9.53,43.3
Analyst,13,14,37.5,14.9,2.2,High,7.5,5.6,0.42,2,4.3,3.9,10,79.5
Writer,5,23.3,57.7,19.3,2.9,High,4.4,5.9,0.47,3,5.1,1.2,10,75.1
Writer,9,3.6,10.8,30.6,2.7,High,4.8,10.3,1.52,10,4.7,3.2,10,52.7
Marketer,10,11.8,26.8,19.8,1.4,Medium,2.5,8.6,3.88,8,4.9,6,8.05,66
Developer,17,21.4,49.3,10,2.1,High,1.9,5.1,1.56,8,4.8,4.7,10,73.7
Developer,19,14.2,35.8,15.6,4.1,High,9.5,7.8,0.1,1,5.6,3.2,10,77.7
Writer,4,9.8,25.6,20.4,1.8,Low,5.9,4.7,3.2,4,5.5,7,5.67,56.2
Manager,8,3.1,10.4,30.2,1.8,Medium,17.8,14.9,0.26,4,1.6,1.7,10,45.9
Analyst,17,9.5,26.7,29.7,1.1,Low,5.7,10.6,1.69,5,4.8,4.8,7.29,77.1
Developer,7,13.9,36.1,14.3,1.6,Low,2.8,4.9,0.52,4,6.1,8.2,4.76,91.6
Designer,13,5.9,18.1,15.1,1.2,Low,3.8,5.1,0.1,10,4.4,9.8,3.59,75.3
Writer,14,15.4,39.2,12.3,1.2,Low,8.5,9.2,4.78,8,5.4,7,5.67,84.3
Designer,2,4.6,12.3,32.6,2.9,Medium,12.1,10.4,0.1,7,2.8,2.2,10,40.8
Manager,11,4.2,3.4,27.7,4.4,Low,12.8,9.4,0.1,9,3.8,4.8,7.28,61
Designer,6,5.5,13.1,29.2,2.8,Low,4.6,6.9,1.47,3,6.4,6.2,6.26,65.9
Marketer,14,9.9,27.7,26.6,3.4,High,2.1,6.7,1.76,7,5.4,3.4,10,65.5
Writer,11,20,46.2,22.6,1.3,High,8.5,6.8,2.27,2,5.3,1,10,65.1
Analyst,1,2.5,1.4,29,2.9,High,6.5,4.7,0.88,3,4.5,3.5,10,43.4
Marketer,12,7.1,13.1,24.2,2.1,High,3.7,5.8,3.69,10,6.5,4.2,10,62.1
Analyst,5,12.5,23.2,25.7,0.6,High,5.7,5.4,4.46,5,4.7,2,10,51.7
Designer,1,0.9,5.2,29,3.4,High,4.9,6.4,0.1,2,3.5,4.3,10,36.2
Analyst,8,9.4,23.1,16.4,0.4,Medium,2,7.5,1.09,7,7.4,7.6,6.87,81.8
Designer,4,8.6,21.2,25.2,2.7,Medium,12.3,13.4,2.5,5,3.5,3,10,51.5
Designer,19,2.3,1.8,29.1,2,Medium,1,8.4,1.75,6,6.5,6.4,7.74,77.8
Marketer,12,7.7,22.1,27.7,2.1,Medium,10.5,7.8,0.1,4,2.4,3,10,62.4
Designer,18,1.9,0,32.9,3.1,Low,10.4,11.7,2.99,4,1.6,4.7,7.36,47.1
Analyst,7,7.4,31.9,20,1.9,Low,6.7,5.3,0.1,3,5.2,7.5,5.3,78
Developer,14,14.2,34.1,22.2,2.9,High,3.7,5.8,3.86,10,3,3,10,53.3
Designer,5,2,0.5,25.4,1.7,Low,4.5,7.7,2.22,10,6.1,8,4.91,55.2
Analyst,10,6.8,13.7,30.7,2.1,Low,5,9.9,2.88,2,4.6,5.4,6.85,51.2
Marketer,6,1.5,0,27.5,2.3,High,7.3,7.1,0.1,7,5,3.9,10,56.9
Developer,8,20.1,47.8,10,4.7,Low,7.7,7.8,0.81,10,3.9,6.5,6.02,78
Developer,2,18.2,50,21.6,1.1,Low,5.7,6.3,4.7,9,6.1,4.6,7.43,71
Designer,8,8.9,16.1,17.7,6,High,5.4,9.8,2.11,5,4.2,5,10,47.5
Analyst,11,4.3,18.7,28.1,1.1,High,2,4.4,2.84,3,4.1,4.4,10,59.4
Manager,16,3.5,11.1,22.3,1.6,Medium,18,14,3.75,4,1.1,3.6,9.83,36.9
Developer,10,18.2,40.8,13.6,1.4,Medium,2.5,9.2,1.6,7,7.8,5.9,8.11,80.2
Marketer,16,4.6,1.6,19.8,3.2,Medium,1,6.8,0.1,10,5.6,8.2,6.42,75.4
Manager,2,6.3,20.3,20.7,1.2,Medium,13.7,11.4,1.42,1,5.4,4.3,9.29,62.8
Developer,1,13.9,34.7,18.2,1,High,1,2,3.91,10,4.5,4.7,10,39.5
Developer,13,14.6,40,23.1,4.5,Low,7.9,9.7,0.1,8,3.1,4.6,7.44,78.7
Manager,10,7.6,27.2,22.9,3.7,Medium,15.3,14.7,0.1,5,2.7,3.1,10,63.5
Writer,17,18.1,42.7,17.4,3.6,High,11.5,8.3,0.46,3,4.8,1.2,10,80.6
Analyst,6,3,10.8,28.5,1.4,Low,6,3.6,1.03,8,4.9,6.6,5.95,68.3
Analyst,19,7.9,9.8,24.9,1.8,Medium,1,4,0.1,5,5,6.1,7.98,74.1
Analyst,18,5.3,12.1,18.6,3.7,Low,3.9,5.9,3.02,3,4.2,9,4.17,67
Analyst,2,4.2,8.5,31.6,1.9,Low,4.4,6.7,3.1,1,4.8,5.9,6.46,51.7
Developer,7,17.9,55,10.5,0.4,Medium,5.4,4.3,4.26,3,4.1,6.1,7.98,66.3
Designer,1,6.6,13.5,20.6,0.3,High,1,7.8,3.17,9,7.4,5.9,9.74,55.1
Developer,2,3.4,14.5,29.1,3.1,Medium,3.2,6.6,0.12,5,6.1,5.6,8.34,61.8
Manager,15,8.4,27.5,16.5,1.3,Low,12.9,12,1.72,5,2.8,6.6,5.97,67.6
Writer,1,15.3,34.9,21.5,2.6,Medium,1.1,4.3,2.96,4,5.2,5,8.77,57.8
Developer,8,20.2,47.9,21.7,0.4,Low,7.5,8.6,3.11,10,5.7,3.6,8.16,75.9
Analyst,16,11.1,28.1,15.2,2.5,Medium,5.3,9.2,2.54,10,4.8,6.6,7.6,71.5
Developer,15,14.9,35.2,23.7,1.8,Medium,6.3,9.1,0.8,10,6.3,3.3,10,88.2
Designer,13,11,6.4,33.8,1.5,Low,1,2.9,3.07,3,5.4,4.6,7.45,59.8
Marketer,3,5.4,16.7,24.7,2.5,High,2.5,4.7,3.21,2,5.2,4.8,10,50.9
Developer,15,19.7,47.5,12.2,1.5,Low,11.3,9.3,0.95,9,3,5.2,6.99,80.5
Marketer,17,3.2,12.1,34.6,2.6,High,2.2,4.1,1.12,1,2.8,3,10,48.7
Designer,19,7.3,23,23.2,1.9,Medium,1,4.9,3.86,4,6.3,6.6,7.59,70.4
Analyst,12,11.4,28,22.2,2.6,Medium,1.8,4.8,3.08,3,7.5,5.6,8.32,75.4
Writer,2,12.5,34.3,16,3.3,Low,9.4,8.5,0.1,2,4.4,6.5,6.02,72.5
Analyst,7,12.1,30.6,30.4,3,High,7.8,8.2,2.21,8,3.5,1,10,63.3
Analyst,15,8,16.8,19.5,0.1,Low,1.7,8.1,3.84,3,5.3,8.7,4.4,74.8
Writer,11,12,23.9,20.2,0.9,High,5.8,7.5,2.21,4,2.4,3.5,10,57.9
Developer,19,17.1,38.1,15.8,1.6,Medium,6.6,7.8,0.1,9,4.7,4.6,9.07,84
Developer,19,29.9,71.7,10,0.7,Low,2.4,5.4,2.63,6,5.9,5.4,6.84,100
Developer,5,15.2,22.7,18.3,1.4,Medium,2,7.1,1.33,6,5.3,5.6,8.33,65.5
Developer,14,2.3,12.4,22.8,4.3,High,7.9,9.9,0.1,10,3.9,4.8,10,65.5
Analyst,18,9.3,31.2,28.8,1.4,Low,2.4,4.3,2.12,4,3.9,5.9,6.48,86.1
Analyst,7,15.4,35.1,19,1,High,4.3,5.1,4.73,10,4.6,3.3,10,68.6
Writer,3,22.9,59.7,18.4,2.2,Medium,4.4,4.9,2.04,9,3.8,3.1,10,64.1
Analyst,17,1.8,11.3,36.3,0.4,High,5.4,12.2,4.31,7,4.4,2.1,10,51.7
Writer,1,14.9,48.9,14.8,2.4,High,3,6.1,3.66,1,4.7,4.8,10,59.8
Developer,18,19,50.4,16.3,1.8,High,9.8,11.8,0.1,10,3.3,1.7,10,73.3
Designer,7,8.4,21.6,10,1.6,Medium,8.1,10.1,1.59,9,3.1,7.9,6.64,58.6
Designer,9,5.9,12.8,30.4,3.1,Low,1.5,4.3,0.85,3,4.4,6.6,5.97,59.9
Designer,16,8,24.5,21.9,3,Low,1.5,8.3,1.17,1,6.4,8.2,4.78,89
Manager,13,1.5,0,29,0.6,Medium,14.8,10.6,0.71,6,2.9,3.2,10,40.8
Marketer,7,7.4,21.7,18.5,1.7,High,4,9.5,4.29,6,4.2,5.5,10,47.1
Developer,8,14.6,27,17.8,2,Low,3.6,8.9,0.1,6,4.8,7,5.66,80.7
Developer,11,18.1,41.3,19,0.7,High,5.6,11.3,1.85,4,3.8,2.3,10,63.5
Analyst,11,7.8,24.1,17,4.1,High,1,3.3,0.1,2,6,6.6,9.25,74.2
Designer,4,11.4,34.8,14.4,1.1,High,5.7,8.5,3.76,9,5.7,5.1,10,53.3
Manager,13,4.8,11.3,23.6,1.3,Low,17.5,11.8,3.45,7,2.9,4.5,7.5,49.3
Writer,17,16.5,34.9,22.6,2.4,Low,5.4,7.4,2.05,4,6.3,4.9,7.22,83.4
Writer,8,10.3,34.5,23.5,2.8,Low,4.3,7,2,8,4.4,6.5,6.04,69.3
Developer,7,20.1,56.8,10,6.6,Medium,7.1,5.6,2.86,3,3.5,5.2,8.63,70.9
Designer,5,6.2,14.9,22.1,0.4,Medium,4.2,5.6,3.06,3,5.7,6.4,7.75,56.8
Marketer,7,7.4,16.3,25.2,1,High,3,7,1.8,5,5.9,4.1,10,71.1
Analyst,9,12,35.5,18.4,1.7,Medium,8,4.4,2.69,4,4.2,4.9,8.85,64.6
Marketer,14,15.6,44.8,21.3,1.1,Medium,7,8.1,4.02,4,5.2,3.5,9.88,71.9
Designer,7,7.3,19,25.3,2.1,High,3.2,6.3,0.1,7,5,4,10,61.7
Designer,13,12.2,32.5,20.1,1.7,High,1,6.1,2.09,8,5.6,4.7,10,64.7
